Eng,Form,VN
guard,v,bảo vệ
pad,n,tập giấy
transmission,n,truyền tải
await,v,chờ đợi
retired,j,đã nghỉ hưu
trigger,v,Kích hoạt
spill,v,tràn
grateful,j,biết ơn
grace,n,duyên dáng
virtual,j,ảo
response,i,phản ứng
colony,n,thuộc địa
adoption,n,nhận con nuôi
slide,n,trượt
indigenous,j,bản địa
closed,j,Đóng
convict,v,kết án
civilian,n,thường dân
towel,n,cái khăn lau
modify,v,biến đổi
particle,n,Hạt
award,v,phần thưởng
glance,n,Nhìn thoáng qua
prize,n,phần thưởng
landing,n,đổ bộ
conduct,n,hạnh kiểm
blue,n,màu xanh da trời
boost,v,tăng
bat,n,con dơi
alarm,n,báo thức
festival,n,ngày hội
grip,n,nắm chặt
weird,j,kỳ dị
undermine,v,hủy hoại
freshman,n,Sinh viên năm nhất
sweat,n,mồ hôi
outer,j,Bên ngoài
European,n,Châu Âu
drunk,j,say rượu
survey,v,sự khảo sát
research,v,nghiên cứu
separation,n,tách biệt
traditionally,r,theo truyền thống
stuff,v,đồ đạc
govern,v,quản lý
southeast,n,Đông Nam
intelligent,j,thông minh
wherever,r,bất cứ nơi nào
ballot,n,phiếu
rhetoric,n,Hùng biện
convinced,j,bị thuyết phục
driving,j,điều khiển
vitamin,n,vitamin
enthusiasm,n,hăng hái
accommodate,v,cung cấp
praise,v,khen
injure,v,làm bị thương
wilderness,n,hoang dã
nearby,r,gần đó
endless,j,bất tận
mandate,n,thi hành
pause,n,tạm ngừng
excuse,n,thứ lỗi
respectively,r,tương ứng
uncertainty,n,tính không chắc chắn
chaos,n,sự hỗn loạn
short,r,ngắn
mechanical,j,cơ khí
canvas,n,Tranh sơn dầu
forty,m,bốn mươi
matter,d,vấn đề
lobby,n,sảnh đợi
profound,j,thâm thúy
format,n,định dạng
trait,n,đặc điểm
currency,n,tiền tệ
turkey,n,Gà tây
reserve,n,dự trữ
beam,n,chùm tia
abuse,v,lạm dụng
astronomer,n,nhà thiên văn học
corruption,n,tham nhũng
contractor,n,Nhà thầu
apologize,v,xin lỗi
doctrine,n,giáo lý
genuine,j,thành thật
thumb,n,ngón tay cái
unity,n,đoàn kết
compromise,n,sự thỏa hiệp
horrible,j,tệ hại
behavioral,j,hành vi
exclusive,j,loại trừ
scatter,v,tiêu tan
commonly,r,thông thường
convey,v,chuyên chở
rush,n,cây bấc
twist,v,xoắn
complexity,n,sự phức tạp
fork,n,cái nĩa
disk,n,Đĩa
relieve,v,giải tỏa
suspicion,n,sự nghi ngờ
lock,n,Khóa
finish,n,kết thúc
residence,n,nơi cư trú
shame,n,xấu hổ
meaningful,j,có ý nghĩa
sidewalk,n,đường đi bộ
Olympics,n,Thế vận hội
technological,j,công nghệ
signature,n,Chữ ký
pleasant,j,hài lòng
wow,u,ồ
suspend,v,đình chỉ
rebel,n,Rebel
frozen,j,Đông cứng
desire,v,khao khát
spouse,n,vợ chồng
fluid,n,dịch
pension,n,lương hưu
resume,v,sơ yếu lý lịch
theoretical,j,lý thuyết
sodium,n,natri
blow,n,thổi
promotion,n,khuyến mãi
delicate,j,thanh tú
forehead,n,trán
rebuild,v,xây dựng lại
bounce,v,nảy
electrical,j,điện
hook,n,cái móc
detective,n,thám tử
traveler,n,Du khách
click,v,nhấp chuột
compensation,n,đền bù
signal,v,dấu hiệu
exit,n,lối ra
attraction,n,sức hút
dedicate,v,cống hiến
altogether,r,hoàn toàn
pickup,n,đón
carve,v,khắc chạm
needle,n,cây kim
belly,n,bụng
ship,v,vận chuyển
scare,v,sự sợ hãi
portfolio,n,Danh mục đầu tư
shuttle,n,Xe đưa đón
invisible,j,vô hình
timing,n,thời gian
engagement,n,hôn ước
ankle,n,mắt cá
transaction,n,Giao dịch
rescue,v,giải thoát
counterpart,n,đối tác
historically,r,trong lịch sử
firmly,r,chắc chắn
mild,j,nhẹ
rider,n,người lái
doll,n,búp bê
noon,n,không bật
exhibit,n,Triển lãm
amid,i,giữa
identical,j,giống hệt nhau
precise,j,tóm lược
anxious,j,lo lắng
structural,j,cấu trúc
residential,j,dân cư
loud,r,ồn ào
diagnose,v,chẩn đoán
carbohydrate,n,carbohydrate
liberty,n,tự do
poster,n,poster
theology,n,thần học
nonprofit,j,phi lợi nhuận
crawl,v,bò
oxygen,n,ôxy
handsome,j,điển trai
magic,n,ma thuật
sum,n,Tổng
provided,c,cung cấp
businessman,n,doanh nhân
promising,j,hứa hẹn
conscious,j,biết rõ
determination,n,sự quyết tâm
donor,n,nhà tài trợ
hers,p,của cô ấy
pastor,n,mục sư
jazz,n,Jazz
opera,n,Opera
Japanese,n,tiếng Nhật
bite,n,cắn
frame,v,khung
evil,j,độc ác
acquisition,n,thu mua
pit,n,hố
hug,v,ôm
wildlife,n,động vật hoang dã
punish,v,trừng phạt
giant,n,người khổng lồ
primary,n,sơ đẳng
equity,n,vốn chủ sở hữu